Country,Year,Population,Gini Index,Average Income,Top10 IncomeShare%,Bottom10 IncomeShare%,Income Group,Economic Group,OECD Status,G20/EU Status,Regional Group
India,2001,107388316,0.63,3073.38,37.72,1.94,Low Income,Developing,Key Partner,G20 Member,Southeast Asia
India,2002,68695029,0.35,48126.5,52.26,4.44,Low Income,Developing,Key Partner,G20 Member,Southeast Asia
India,2003,223780861,0.32,22025.17,46.39,4.11,Upper Middle Income,Developing,Key Partner,G20 Member,Southeast Asia
India,2004,44849021,0.23,29735.0,26.03,1.86,Low Income,Developing,Key Partner,G20 Member,Southeast Asia
India,2005,79830236,0.62,61976.63,52.73,2.36,Upper Middle Income,Developing,Key Partner,G20 Member,Southeast Asia
India,2006,258667151,0.27,48478.23,20.68,3.66,Upper Middle Income,Developing,Key Partner,G20 Member,Southeast Asia
India,2007,334195724,0.21,9404.8,47.43,1.86,Low Income,Developing,Key Partner,G20 Member,Southeast Asia
India,2008,193910247,0.32,22372.85,48.21,1.21,High Income,Developing,Key Partner,G20 Member,Southeast Asia
India,2009,311089564,0.46,24083.47,48.13,4.36,Lower Middle Income,Developing,Key Partner,G20 Member,Southeast Asia
India,2010,37209823,0.42,53157.15,43.27,4.08,High Income,Developing,Key Partner,G20 Member,Southeast Asia
India,2011,244260718,0.5,5207.77,25.42,3.69,Low Income,Developing,Key Partner,G20 Member,Southeast Asia
India,2012,288327384,0.63,6934.13,44.06,3.13,Upper Middle Income,Developing,Key Partner,G20 Member,Southeast Asia
India,2013,59909873,0.47,1833.43,38.49,1.44,Low Income,Developing,Key Partner,G20 Member,Southeast Asia
India,2014,222608132,0.27,21317.31,48.01,2.15,High Income,Developing,Key Partner,G20 Member,Southeast Asia
India,2015,5938668,0.29,10797.63,59.56,1.87,Lower Middle Income,Developing,Key Partner,G20 Member,Southeast Asia
India,2016,238406949,0.21,55753.54,39.21,2.66,Lower Middle Income,Developing,Key Partner,G20 Member,Southeast Asia
India,2017,127635927,0.33,63876.61,55.17,4.73,Low Income,Developing,Key Partner,G20 Member,Southeast Asia
India,2018,185591199,0.36,69106.97,38.7,2.12,High Income,Developing,Key Partner,G20 Member,Southeast Asia
India,2019,191752879,0.2,38893.38,44.57,4.08,High Income,Developing,Key Partner,G20 Member,Southeast Asia
India,2020,178534033,0.58,50662.78,38.42,1.75,Upper Middle Income,Developing,Key Partner,G20 Member,Southeast Asia
India,2021,188608292,0.5,39024.1,58.51,3.45,Low Income,Developing,Key Partner,G20 Member,Southeast Asia
India,2022,170965875,0.52,67030.93,24.02,2.35,Upper Middle Income,Developing,Key Partner,G20 Member,Southeast Asia
India,2023,225998047,0.62,62898.34,43.86,4.18,Upper Middle Income,Developing,Key Partner,G20 Member,Southeast Asia
Brazil,2000,93525256,0.54,18954.4,51.14,3.0,Lower Middle Income,Developing,Key Partner,G20 Member,Latin America and the Caribbean
Brazil,2001,137409895,0.42,19002.95,27.73,3.79,Lower Middle Income,Developing,Key Partner,G20 Member,Latin America and the Caribbean
Brazil,2002,219377972,0.42,47250.54,49.89,2.27,High Income,Developing,Key Partner,G20 Member,Latin America and the Caribbean
Brazil,2003,260193288,0.3,67807.98,25.47,3.0,High Income,Developing,Key Partner,G20 Member,Latin America and the Caribbean
Brazil,2004,10134125,0.24,31560.72,36.64,3.83,Low Income,Developing,Key Partner,G20 Member,Latin America and the Caribbean
Brazil,2005,335779016,0.6,22658.91,23.38,4.83,Low Income,Developing,Key Partner,G20 Member,Latin America and the Caribbean
Brazil,2006,85174058,0.5,3541.05,32.75,3.06,High Income,Developing,Key Partner,G20 Member,Latin America and the Caribbean
Brazil,2007,321507436,0.45,16544.71,25.12,1.79,Lower Middle Income,Developing,Key Partner,G20 Member,Latin America and the Caribbean
Brazil,2008,160642132,0.53,50266.48,50.48,4.51,Low Income,Developing,Key Partner,G20 Member,Latin America and the Caribbean
Brazil,2009,281958236,0.61,65707.14,33.4,1.14,High Income,Developing,Key Partner,G20 Member,Latin America and the Caribbean
Brazil,2010,287120431,0.31,34696.17,55.96,3.36,High Income,Developing,Key Partner,G20 Member,Latin America and the Caribbean
Brazil,2011,5493471,0.3,48859.68,38.47,4.3,Low Income,Developing,Key Partner,G20 Member,Latin America and the Caribbean
Brazil,2012,229640099,0.44,51210.45,30.48,2.16,High Income,Developing,Key Partner,G20 Member,Latin America and the Caribbean
Brazil,2013,148172053,0.57,8456.36,29.52,4.04,Upper Middle Income,Developing,Key Partner,G20 Member,Latin America and the Caribbean
Brazil,2014,305714714,0.27,18722.28,42.46,4.88,Upper Middle Income,Developing,Key Partner,G20 Member,Latin America and the Caribbean
Brazil,2015,275874032,0.27,60340.79,24.81,1.67,Low Income,Developing,Key Partner,G20 Member,Latin America and the Caribbean
Brazil,2016,329733049,0.3,6883.01,47.04,3.76,Upper Middle Income,Developing,Key Partner,G20 Member,Latin America and the Caribbean
Brazil,2017,306824701,0.42,33031.19,52.83,1.42,Lower Middle Income,Developing,Key Partner,G20 Member,Latin America and the Caribbean
Brazil,2018,69902271,0.34,20999.4,46.95,1.06,High Income,Developing,Key Partner,G20 Member,Latin America and the Caribbean
Brazil,2019,329453120,0.49,9324.44,47.29,2.92,High Income,Developing,Key Partner,G20 Member,Latin America and the Caribbean
Brazil,2020,195057228,0.45,49528.47,56.42,1.32,Low Income,Developing,Key Partner,G20 Member,Latin America and the Caribbean
Brazil,2021,6604029,0.26,10839.88,39.65,3.67,Upper Middle Income,Developing,Key Partner,G20 Member,Latin America and the Caribbean
Brazil,2022,158300830,0.58,54914.81,42.08,3.18,Upper Middle Income,Developing,Key Partner,G20 Member,Latin America and the Caribbean
Brazil,2023,56450840,0.33,48429.07,36.77,1.97,Low Income,Developing,Key Partner,G20 Member,Latin America and the Caribbean
Germany,2000,226889922,0.6,39127.44,39.35,2.48,Upper Middle Income,Developed,Member,G20 Member,Western Europe
Germany,2001,72413433,0.31,51328.04,25.88,3.39,High Income,Developed,Member,G20 Member,Western Europe
Germany,2002,270637826,0.63,48330.94,49.33,3.66,High Income,Developed,Member,G20 Member,Western Europe
Germany,2003,164760421,0.34,4875.36,51.85,2.32,Upper Middle Income,Developed,Member,G20 Member,Western Europe
Germany,2004,211295649,0.4,67400.62,47.11,2.16,High Income,Developed,Member,G20 Member,Western Europe
Germany,2005,231798922,0.64,69381.27,35.15,4.48,Low Income,Developed,Member,G20 Member,Western Europe
Germany,2006,52205589,0.5,15930.3,57.33,1.17,Upper Middle Income,Developed,Member,G20 Member,Western Europe
Germany,2007,220470684,0.55,14623.96,51.79,3.15,Upper Middle Income,Developed,Member,G20 Member,Western Europe
Germany,2008,216296778,0.45,41058.56,34.28,4.95,High Income,Developed,Member,G20 Member,Western Europe
Germany,2009,149088616,0.57,24723.09,54.22,3.39,High Income,Developed,Member,G20 Member,Western Europe
Germany,2010,54373053,0.43,57435.89,22.02,1.44,Upper Middle Income,Developed,Member,G20 Member,Western Europe
Germany,2011,96755642,0.55,57912.78,26.87,1.87,High Income,Developed,Member,G20 Member,Western Europe
Germany,2012,183243437,0.49,36633.74,50.82,4.38,High Income,Developed,Member,G20 Member,Western Europe
Germany,2013,134501554,0.33,69704.39,47.52,2.97,High Income,Developed,Member,G20 Member,Western Europe
Germany,2014,312468439,0.64,51765.8,45.89,1.23,High Income,Developed,Member,G20 Member,Western Europe
Germany,2015,118663831,0.4,10494.78,39.84,3.22,Low Income,Developed,Member,G20 Member,Western Europe
Germany,2016,45365130,0.2,36124.23,58.35,2.5,Lower Middle Income,Developed,Member,G20 Member,Western Europe
Germany,2017,129972450,0.45,36892.25,28.36,1.98,Lower Middle Income,Developed,Member,G20 Member,Western Europe
Germany,2018,104576256,0.52,39487.8,34.44,3.99,High Income,Developed,Member,G20 Member,Western Europe
Germany,2019,206814497,0.46,25472.4,39.47,4.44,Low Income,Developed,Member,G20 Member,Western Europe
Germany,2020,209829174,0.54,56354.73,25.83,2.69,Low Income,Developed,Member,G20 Member,Western Europe
Germany,2021,110871647,0.44,48077.81,34.1,3.6,High Income,Developed,Member,G20 Member,Western Europe
Germany,2022,82827615,0.39,25941.48,41.62,3.57,Low Income,Developed,Member,G20 Member,Western Europe
Germany,2023,146444811,0.63,66369.85,57.8,4.87,High Income,Developed,Member,G20 Member,Western Europe
Nigeria,2000,302722699,0.31,22848.66,37.05,3.95,Upper Middle Income,Developing,Non Member,Non G20 Member,Sub-Saharan Africa
Nigeria,2001,32242628,0.25,19753.05,35.25,3.47,Low Income,Developing,Non Member,Non G20 Member,Sub-Saharan Africa
Nigeria,2002,19906678,0.42,33409.17,30.13,4.59,Upper Middle Income,Developing,Non Member,Non G20 Member,Sub-Saharan Africa
Nigeria,2003,168754766,0.47,43448.25,58.46,1.49,High Income,Developing,Non Member,Non G20 Member,Sub-Saharan Africa
Nigeria,2004,248007847,0.63,61877.9,21.84,2.09,Low Income,Developing,Non Member,Non G20 Member,Sub-Saharan Africa
Nigeria,2005,52267586,0.32,68883.94,58.27,3.73,Upper Middle Income,Developing,Non Member,Non G20 Member,Sub-Saharan Africa
Nigeria,2006,348813486,0.52,4912.48,32.93,2.79,Low Income,Developing,Non Member,Non G20 Member,Sub-Saharan Africa
Nigeria,2007,35727638,0.55,28665.97,44.93,3.24,Low Income,Developing,Non Member,Non G20 Member,Sub-Saharan Africa
Nigeria,2008,13891933,0.44,12413.33,57.14,4.38,Low Income,Developing,Non Member,Non G20 Member,Sub-Saharan Africa
Nigeria,2009,339373472,0.54,7963.87,36.03,4.32,High Income,Developing,Non Member,Non G20 Member,Sub-Saharan Africa
Nigeria,2010,18569278,0.33,38159.85,42.86,1.69,Low Income,Developing,Non Member,Non G20 Member,Sub-Saharan Africa
Nigeria,2011,315705178,0.2,38174.16,23.53,4.08,High Income,Developing,Non Member,Non G20 Member,Sub-Saharan Africa
Nigeria,2012,290729554,0.38,33819.36,40.5,1.42,Low Income,Developing,Non Member,Non G20 Member,Sub-Saharan Africa
Nigeria,2013,172070469,0.63,24893.97,29.72,1.17,Upper Middle Income,Developing,Non Member,Non G20 Member,Sub-Saharan Africa
Nigeria,2014,62180279,0.57,18371.26,32.21,3.57,Lower Middle Income,Developing,Non Member,Non G20 Member,Sub-Saharan Africa
Nigeria,2015,14366784,0.52,55253.19,57.25,2.9,Upper Middle Income,Developing,Non Member,Non G20 Member,Sub-Saharan Africa
Nigeria,2016,27326266,0.36,35659.74,21.43,3.62,Upper Middle Income,Developing,Non Member,Non G20 Member,Sub-Saharan Africa
Nigeria,2017,37229959,0.38,52632.02,22.54,3.72,Lower Middle Income,Developing,Non Member,Non G20 Member,Sub-Saharan Africa
Nigeria,2018,147620513,0.52,23148.31,23.34,3.63,Lower Middle Income,Developing,Non Member,Non G20 Member,Sub-Saharan Africa
Nigeria,2019,209660435,0.21,32785.08,28.7,4.89,Lower Middle Income,Developing,Non Member,Non G20 Member,Sub-Saharan Africa
Nigeria,2020,249851048,0.64,50101.79,31.01,2.99,High Income,Developing,Non Member,Non G20 Member,Sub-Saharan Africa
Nigeria,2021,194386460,0.33,56419.54,40.39,1.42,Lower Middle Income,Developing,Non Member,Non G20 Member,Sub-Saharan Africa
Nigeria,2022,127938866,0.2,25173.92,56.08,1.69,Low Income,Developing,Non Member,Non G20 Member,Sub-Saharan Africa
Nigeria,2023,310328219,0.49,40481.62,36.22,3.08,Upper Middle Income,Developing,Non Member,Non G20 Member,Sub-Saharan Africa
China,2000,73880810,0.32,65663.8,23.24,3.45,Lower Middle Income,Developing,Key Partner,G20 Member,East Asia
China,2001,110954710,0.31,18800.32,42.32,4.4,Upper Middle Income,Developing,Key Partner,G20 Member,East Asia
China,2002,247377146,0.45,30826.89,49.79,3.36,Lower Middle Income,Developing,Key Partner,G20 Member,East Asia
China,2003,70601778,0.56,44309.0,58.66,2.33,Lower Middle Income,Developing,Key Partner,G20 Member,East Asia
China,2004,198087536,0.54,7198.59,55.2,4.64,Lower Middle Income,Developing,Key Partner,G20 Member,East Asia
China,2005,93908239,0.28,10490.42,33.13,4.24,High Income,Developing,Key Partner,G20 Member,East Asia
China,2006,237375638,0.35,62253.09,28.67,1.15,Low Income,Developing,Key Partner,G20 Member,East Asia
China,2007,112569945,0.58,54892.24,46.49,2.04,Low Income,Developing,Key Partner,G20 Member,East Asia
China,2008,191175403,0.34,2486.46,35.15,2.41,High Income,Developing,Key Partner,G20 Member,East Asia
China,2009,234746408,0.23,13858.56,53.99,1.89,Lower Middle Income,Developing,Key Partner,G20 Member,East Asia
China,2010,134535180,0.29,60498.32,57.06,1.93,Upper Middle Income,Developing,Key Partner,G20 Member,East Asia
China,2011,34074019,0.27,67501.71,38.43,4.48,High Income,Developing,Key Partner,G20 Member,East Asia
China,2012,277454278,0.43,12703.49,50.23,2.98,High Income,Developing,Key Partner,G20 Member,East Asia
China,2013,211803935,0.29,40540.4,56.29,3.58,Low Income,Developing,Key Partner,G20 Member,East Asia
China,2014,244804329,0.37,41977.56,55.74,4.72,Upper Middle Income,Developing,Key Partner,G20 Member,East Asia
China,2015,313406296,0.23,68241.13,41.39,4.37,High Income,Developing,Key Partner,G20 Member,East Asia
China,2016,161625118,0.33,59246.46,41.64,2.66,Lower Middle Income,Developing,Key Partner,G20 Member,East Asia
China,2017,193192330,0.58,11445.86,54.96,2.25,High Income,Developing,Key Partner,G20 Member,East Asia
China,2018,254199787,0.31,4608.77,29.28,4.39,Upper Middle Income,Developing,Key Partner,G20 Member,East Asia
China,2019,213945562,0.34,24731.17,36.48,3.8,Upper Middle Income,Developing,Key Partner,G20 Member,East Asia
China,2020,343855053,0.48,35506.05,33.77,1.71,High Income,Developing,Key Partner,G20 Member,East Asia
China,2021,210149205,0.25,1731.97,39.68,1.9,Lower Middle Income,Developing,Key Partner,G20 Member,East Asia
China,2022,103999127,0.5,55280.76,41.26,4.08,Low Income,Developing,Key Partner,G20 Member,East Asia
China,2023,251205373,0.49,36335.32,42.03,1.71,Upper Middle Income,Developing,Key Partner,G20 Member,East Asia
United Kingdom,2000,234316070,0.55,46250.47,45.39,1.89,High Income,Developed,Member,G20 Member,Western Europe
United Kingdom,2001,59439660,0.59,3554.72,27.36,4.4,Lower Middle Income,Developed,Member,G20 Member,Western Europe
United Kingdom,2002,211903037,0.29,26783.56,37.0,2.85,Lower Middle Income,Developed,Member,G20 Member,Western Europe
United Kingdom,2003,168131654,0.6,16515.1,54.38,2.85,High Income,Developed,Member,G20 Member,Western Europe
United Kingdom,2004,21591036,0.56,54316.83,46.11,3.03,Low Income,Developed,Member,G20 Member,Western Europe
United Kingdom,2005,290405107,0.38,20575.81,41.6,2.7,Lower Middle Income,Developed,Member,G20 Member,Western Europe
United Kingdom,2006,146455983,0.55,31650.8,26.26,1.64,Lower Middle Income,Developed,Member,G20 Member,Western Europe
United Kingdom,2007,17231386,0.4,61479.68,21.84,4.72,High Income,Developed,Member,G20 Member,Western Europe
United Kingdom,2008,112658782,0.4,15270.35,28.86,2.49,Upper Middle Income,Developed,Member,G20 Member,Western Europe
United Kingdom,2009,342125069,0.53,16857.43,31.33,3.81,Lower Middle Income,Developed,Member,G20 Member,Western Europe
United Kingdom,2010,333752394,0.54,64999.16,24.21,4.38,Lower Middle Income,Developed,Member,G20 Member,Western Europe
United Kingdom,2011,272951834,0.57,36393.71,25.37,4.4,High Income,Developed,Member,G20 Member,Western Europe
United Kingdom,2012,120930649,0.44,30233.59,35.39,1.71,Lower Middle Income,Developed,Member,G20 Member,Western Europe
United Kingdom,2013,231396548,0.22,30976.15,45.34,3.17,Lower Middle Income,Developed,Member,G20 Member,Western Europe
United Kingdom,2014,161938266,0.57,66039.04,23.94,3.75,Upper Middle Income,Developed,Member,G20 Member,Western Europe
United Kingdom,2015,292129624,0.52,46549.63,23.64,2.36,Upper Middle Income,Developed,Member,G20 Member,Western Europe
United Kingdom,2016,67370335,0.59,68949.26,25.99,4.99,Low Income,Developed,Member,G20 Member,Western Europe
United Kingdom,2017,219319827,0.35,44309.86,58.78,3.55,Upper Middle Income,Developed,Member,G20 Member,Western Europe
United Kingdom,2018,272987745,0.28,35127.18,20.63,1.63,High Income,Developed,Member,G20 Member,Western Europe
United Kingdom,2019,75202781,0.55,17772.91,56.93,3.45,High Income,Developed,Member,G20 Member,Western Europe
United Kingdom,2020,266961456,0.34,59303.09,49.65,1.89,High Income,Developed,Member,G20 Member,Western Europe
United Kingdom,2021,153164732,0.43,22259.11,30.23,1.02,Upper Middle Income,Developed,Member,G20 Member,Western Europe
United Kingdom,2022,192640036,0.41,29929.4,56.72,2.46,High Income,Developed,Member,G20 Member,Western Europe
United Kingdom,2023,346569070,0.3,13593.32,42.33,4.15,Upper Middle Income,Developed,Member,G20 Member,Western Europe
Russia,2000,61694501,0.27,61769.17,28.27,2.26,Upper Middle Income,Developing,Non Member,G20 Member,Eastern Europe and Central Asia
Russia,2001,337942284,0.56,10662.5,45.74,3.26,Low Income,Developing,Non Member,G20 Member,Eastern Europe and Central Asia
Russia,2002,62987676,0.61,23152.31,48.96,4.57,Lower Middle Income,Developing,Non Member,G20 Member,Eastern Europe and Central Asia
Russia,2003,121675612,0.52,15814.45,48.21,4.75,Low Income,Developing,Non Member,G20 Member,Eastern Europe and Central Asia
Russia,2004,44771526,0.53,54249.4,38.29,3.6,High Income,Developing,Non Member,G20 Member,Eastern Europe and Central Asia
Russia,2005,308674921,0.26,69228.68,43.66,3.89,Lower Middle Income,Developing,Non Member,G20 Member,Eastern Europe and Central Asia
Russia,2006,24699414,0.45,30323.07,26.97,4.93,Lower Middle Income,Developing,Non Member,G20 Member,Eastern Europe and Central Asia
Russia,2007,177125722,0.43,58695.72,50.09,3.83,Upper Middle Income,Developing,Non Member,G20 Member,Eastern Europe and Central Asia
Russia,2008,264986179,0.54,22662.41,39.11,4.45,High Income,Developing,Non Member,G20 Member,Eastern Europe and Central Asia
Russia,2009,347898848,0.44,24654.43,53.58,1.96,Lower Middle Income,Developing,Non Member,G20 Member,Eastern Europe and Central Asia
Russia,2010,179369977,0.5,57422.49,42.26,3.12,High Income,Developing,Non Member,G20 Member,Eastern Europe and Central Asia
Russia,2011,186015562,0.23,29445.52,43.54,1.93,High Income,Developing,Non Member,G20 Member,Eastern Europe and Central Asia
Russia,2012,22604464,0.52,48522.13,54.3,4.87,High Income,Developing,Non Member,G20 Member,Eastern Europe and Central Asia
Russia,2013,145148039,0.37,7518.98,31.43,2.53,Lower Middle Income,Developing,Non Member,G20 Member,Eastern Europe and Central Asia
Russia,2014,123990657,0.41,29097.07,24.7,4.54,Upper Middle Income,Developing,Non Member,G20 Member,Eastern Europe and Central Asia
Russia,2015,295217705,0.44,7970.28,59.94,4.5,Lower Middle Income,Developing,Non Member,G20 Member,Eastern Europe and Central Asia
Russia,2016,185042229,0.27,65712.52,57.91,4.86,Upper Middle Income,Developing,Non Member,G20 Member,Eastern Europe and Central Asia
Russia,2017,195481950,0.45,49666.16,41.71,2.08,Lower Middle Income,Developing,Non Member,G20 Member,Eastern Europe and Central Asia
Russia,2018,281186938,0.38,37267.08,29.05,3.6,Low Income,Developing,Non Member,G20 Member,Eastern Europe and Central Asia
Russia,2019,249129185,0.62,22994.25,44.6,2.86,High Income,Developing,Non Member,G20 Member,Eastern Europe and Central Asia
Russia,2020,21354867,0.37,20044.28,46.29,2.13,Low Income,Developing,Non Member,G20 Member,Eastern Europe and Central Asia
Russia,2021,108900083,0.24,44911.95,56.37,2.9,High Income,Developing,Non Member,G20 Member,Eastern Europe and Central Asia
Russia,2022,346630522,0.32,19456.12,28.59,2.91,High Income,Developing,Non Member,G20 Member,Eastern Europe and Central Asia
Russia,2023,168866843,0.35,50681.53,22.81,3.19,Lower Middle Income,Developing,Non Member,G20 Member,Eastern Europe and Central Asia
Japan,2000,167865327,0.28,49518.83,58.74,3.64,Low Income,Developed,Member,G20 Member,East Asia
Japan,2001,232301573,0.64,12581.83,34.71,1.7,Low Income,Developed,Member,G20 Member,East Asia
Japan,2002,8704917,0.65,64479.94,41.07,4.26,Low Income,Developed,Member,G20 Member,East Asia
Japan,2003,121119256,0.37,27304.58,22.57,4.79,Lower Middle Income,Developed,Member,G20 Member,East Asia
Japan,2004,30561711,0.46,16945.46,23.7,4.39,Upper Middle Income,Developed,Member,G20 Member,East Asia
Japan,2005,113803878,0.37,62458.08,59.92,1.45,Upper Middle Income,Developed,Member,G20 Member,East Asia
Japan,2006,349176812,0.57,46523.38,39.63,2.29,Low Income,Developed,Member,G20 Member,East Asia
Japan,2007,166540585,0.37,24991.46,50.93,2.01,Low Income,Developed,Member,G20 Member,East Asia
Japan,2008,21240082,0.46,10173.95,49.71,4.77,High Income,Developed,Member,G20 Member,East Asia
Japan,2009,117895630,0.49,8452.34,23.26,2.86,Upper Middle Income,Developed,Member,G20 Member,East Asia
Japan,2010,72601258,0.48,55328.74,23.34,4.25,High Income,Developed,Member,G20 Member,East Asia
Japan,2011,325194040,0.22,24801.31,38.45,2.06,Low Income,Developed,Member,G20 Member,East Asia
Japan,2012,101031220,0.4,48198.12,50.0,1.25,Lower Middle Income,Developed,Member,G20 Member,East Asia
Japan,2013,339329553,0.27,29668.37,48.36,2.75,Upper Middle Income,Developed,Member,G20 Member,East Asia
Japan,2014,63683985,0.4,66527.1,54.95,1.14,Upper Middle Income,Developed,Member,G20 Member,East Asia
Japan,2015,126269240,0.31,61198.38,31.72,4.19,Low Income,Developed,Member,G20 Member,East Asia
Japan,2016,167456071,0.39,9017.81,37.91,4.81,Upper Middle Income,Developed,Member,G20 Member,East Asia
Japan,2017,54209245,0.51,14320.78,51.01,2.98,High Income,Developed,Member,G20 Member,East Asia
Japan,2018,343059148,0.5,31216.98,38.15,2.88,Upper Middle Income,Developed,Member,G20 Member,East Asia
Japan,2019,156884110,0.59,17028.06,36.83,4.61,Low Income,Developed,Member,G20 Member,East Asia
Japan,2020,345629247,0.25,63978.92,31.61,3.07,Lower Middle Income,Developed,Member,G20 Member,East Asia
Japan,2021,56657925,0.53,1815.6,34.46,2.49,Lower Middle Income,Developed,Member,G20 Member,East Asia
Japan,2022,33536663,0.42,27141.12,40.57,2.0,Lower Middle Income,Developed,Member,G20 Member,East Asia
Japan,2023,203341977,0.54,63025.99,28.68,4.38,High Income,Developed,Member,G20 Member,East Asia
South Africa,2000,28643552,0.57,52012.48,42.26,3.2,High Income,Developing,Key Partner,G20 Member,Sub-Saharan Africa
South Africa,2001,84978576,0.27,1082.68,21.74,1.72,Upper Middle Income,Developing,Key Partner,G20 Member,Sub-Saharan Africa
South Africa,2002,299578994,0.21,45868.46,55.21,3.96,High Income,Developing,Key Partner,G20 Member,Sub-Saharan Africa
South Africa,2003,55414728,0.48,33925.71,46.05,2.22,Lower Middle Income,Developing,Key Partner,G20 Member,Sub-Saharan Africa
South Africa,2004,14004304,0.28,33933.6,28.61,2.74,Lower Middle Income,Developing,Key Partner,G20 Member,Sub-Saharan Africa
South Africa,2005,345482097,0.21,38382.74,24.49,4.27,High Income,Developing,Key Partner,G20 Member,Sub-Saharan Africa
South Africa,2006,52941162,0.41,40535.96,41.68,3.29,High Income,Developing,Key Partner,G20 Member,Sub-Saharan Africa
South Africa,2007,279749318,0.54,22080.09,47.81,2.67,Upper Middle Income,Developing,Key Partner,G20 Member,Sub-Saharan Africa
South Africa,2008,284667256,0.33,69663.99,46.54,1.85,Lower Middle Income,Developing,Key Partner,G20 Member,Sub-Saharan Africa
South Africa,2009,169494954,0.3,41980.29,31.37,3.69,Low Income,Developing,Key Partner,G20 Member,Sub-Saharan Africa
South Africa,2010,36859402,0.51,43036.84,59.24,1.91,Upper Middle Income,Developing,Key Partner,G20 Member,Sub-Saharan Africa
South Africa,2011,246858672,0.55,1161.42,34.42,3.62,High Income,Developing,Key Partner,G20 Member,Sub-Saharan Africa
South Africa,2012,173856822,0.63,22126.79,57.59,1.29,Lower Middle Income,Developing,Key Partner,G20 Member,Sub-Saharan Africa
South Africa,2013,15423704,0.44,68209.91,35.84,3.64,Low Income,Developing,Key Partner,G20 Member,Sub-Saharan Africa
South Africa,2014,110948910,0.37,14397.0,28.61,4.88,Upper Middle Income,Developing,Key Partner,G20 Member,Sub-Saharan Africa
South Africa,2015,219843596,0.38,4443.14,30.13,3.87,Upper Middle Income,Developing,Key Partner,G20 Member,Sub-Saharan Africa
South Africa,2016,12350423,0.62,68033.23,30.99,3.74,Lower Middle Income,Developing,Key Partner,G20 Member,Sub-Saharan Africa
South Africa,2017,223700898,0.27,43250.37,27.14,4.04,Low Income,Developing,Key Partner,G20 Member,Sub-Saharan Africa
South Africa,2018,142431738,0.5,64833.52,59.14,2.41,Low Income,Developing,Key Partner,G20 Member,Sub-Saharan Africa
South Africa,2019,31800236,0.61,1031.46,45.0,2.81,Upper Middle Income,Developing,Key Partner,G20 Member,Sub-Saharan Africa
South Africa,2020,293900945,0.34,46989.17,29.9,1.16,Low Income,Developing,Key Partner,G20 Member,Sub-Saharan Africa
South Africa,2021,223322985,0.36,46885.99,37.55,4.75,Lower Middle Income,Developing,Key Partner,G20 Member,Sub-Saharan Africa
South Africa,2022,185307831,0.49,24900.7,53.54,1.54,Lower Middle Income,Developing,Key Partner,G20 Member,Sub-Saharan Africa
